wave_number,kappa,plane_helicity_-1,plane_helicity_1,twisted__helicity_-1_momentum_0,twisted__helicity_1_momentum_0,twisted__helicity_-1_momentum_1,twisted__helicity_1_momentum_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015442313
0.1001694,0.032939356,0.0,0.0,0.0,0.0,0.0,0.0016126292
0.2003388,0.06587871,0.0,0.0,0.0,0.0,0.0,0.0016777407
0.3005082,0.09881807,0.0,0.0,0.0,0.0,0.0,0.001739027
0.4006776,0.13175742,0.0,0.0,0.0,0.0,0.0,0.0017959881
0.500847,0.16469677,0.0,0.0,0.0,0.0,0.0,0.0018481875
0.6010164,0.19763614,0.0,0.0,0.0,0.0,0.0,0.0018952056
0.7011858,0.23057552,0.0,0.0,0.0,0.0,0.0,0.0019367221
0.8013552,0.26351485,0.0,0.0,0.0,0.0,0.0,0.0019724888
0.9015246,0.2964542,0.0,0.0,0.0,0.0,0.0,0.0020022902
1.001694,0.32939354,0.0,0.0,0.0,0.0,0.0,0.0020260226
1.1018634,0.3623329,0.0,0.0,0.0,0.0,0.0,0.002043648
1.2020328,0.39527228,0.0,0.0,0.0,0.0,0.0,0.002055201
1.3022022,0.42821163,0.0,0.0,0.0,0.0,0.0,0.002060803
1.4023716,0.46115103,0.0,0.0,0.0,0.0,0.0,0.002060611
1.502541,0.49409032,0.0,0.0,0.0,0.0,0.0,0.002054875
1.6027104,0.5270297,0.0,0.0,0.0,0.0,0.0,0.0020439061
1.7028798,0.55996907,0.0,0.0,0.0,0.0,0.0,0.00202803
1.8030492,0.5929084,0.0,0.0,0.0,0.0,0.0,0.002007647
1.9032186,0.6258478,0.0,0.0,0.0,0.0,0.0,0.00198318
2.003388,0.6587871,0.0,0.0,0.0,0.0,0.0,0.0019550766
2.1035573,0.6917265,0.0,0.0,0.0,0.0,0.0,0.0019237997
2.2037268,0.7246658,0.0,0.0,0.0,0.0,0.0,0.0018898342
2.3038962,0.7576052,0.0,0.0,0.0,0.0,0.0,0.0018536261
2.4040656,0.79054457,0.0,0.0,0.0,0.0,0.0,0.001815658
2.5042353,0.82348394,0.0,0.0,0.0,0.0,0.0,0.0017763563
2.6044044,0.85642326,0.0,0.0,0.0,0.0,0.0,0.0017361533
2.7045736,0.8893626,0.0,0.0,0.0,0.0,0.0,0.0016954476
2.8047433,0.92230207,0.0,0.0,0.0,0.0,0.0,0.0016546061
2.9049125,0.95524126,0.0,0.0,0.0,0.0,0.0,0.0016139619
3.005082,0.98818064,0.0,0.0,0.0,0.0,0.0,0.0015738256
3.1052513,1.0211201,0.0,0.0,0.0,0.0,0.0,0.001534437
3.2054207,1.0540594,0.0,0.0,0.0,0.0,0.0,0.0014960291
3.3055904,1.0869988,0.0,8.231414e-07,0.0,4.772619e-08,0.0,0.0014595292
3.4057596,1.1199381,0.0,1.9394897e-06,0.0,1.1344251e-07,0.0,0.0014245952
3.505929,1.1528774,0.0,3.3895872e-06,0.0,1.9974958e-07,0.0,0.0013913913
3.6060984,1.1858168,1.7402632e-10,5.455818e-06,0.0,3.2402215e-07,0.0,0.0013602502
3.7062676,1.2187561,6.967918e-10,7.871703e-06,0.0,4.6977345e-07,0.0,0.0013309959
3.8064373,1.2516956,2.135921e-09,1.1583963e-05,0.0,6.964661e-07,0.0,0.0013044975
3.9066064,1.2846348,3.5540157e-09,1.5748217e-05,0.0,9.496817e-07,0.0,0.0012800085
4.006776,1.3175741,7.2977375e-09,2.203934e-05,1.7232625e-10,1.338068e-06,0.0,0.0012589894
4.1069455,1.3505137,1.1712098e-08,2.9548313e-05,3.6992906e-10,1.8007665e-06,0.0,0.001240609
4.2071147,1.383453,1.7346743e-08,3.9027924e-05,6.2189454e-10,2.3849589e-06,0.0,0.0012254873
4.3072844,1.4163923,2.6224335e-08,5.1440147e-05,1.0627813e-09,3.1541401e-06,0.0,0.0012144026
4.4074535,1.4493316,3.7532335e-08,6.704522e-05,1.6256549e-09,4.1214907e-06,0.0,0.0012075243
4.507623,1.4822711,5.7996566e-08,8.785447e-05,2.7874276e-09,5.425431e-06,0.0,0.0012065106
4.6077924,1.5152104,7.569441e-08,0.00011218679,3.6625056e-09,6.9339417e-06,0.0,0.0012098878
4.7079616,1.5481497,1.1133182e-07,0.00014478552,5.762254e-09,8.984265e-06,0.0,0.0012216131
4.808131,1.5810891,1.4446549e-07,0.00018338459,7.528641e-09,1.1390888e-05,0.0,0.0012397413
4.908301,1.6140286,2.0444136e-07,0.00023359717,1.1170055e-08,1.4559963e-05,0.0,0.0012689616
5.0084705,1.6469679,2.637004e-07,0.0002934467,1.450961e-08,1.8311697e-05,0.0,0.0013075967
5.1086392,1.6799071,3.6193657e-07,0.0003694967,2.0626175e-08,2.3127815e-05,0.0,0.0013611532
5.208809,1.7128465,4.6395783e-07,0.00046033313,2.6632206e-08,2.8851704e-05,0.0,0.001428468
5.308978,1.745786,6.093965e-07,0.0005725628,3.5653624e-08,3.5964422e-05,0.0,0.0015151079
5.4091473,1.7787251,7.91407e-07,0.0007086561,4.7027857e-08,4.4604203e-05,0.0,0.0016231835
5.509317,1.8116645,1.024502e-06,0.0008733568,6.185223e-08,5.508842e-05,0.0,0.0017567396
5.6094866,1.8446041,1.3145739e-06,0.0010713525,8.0445446e-08,6.7716785e-05,0.0,0.0019198095
5.7096553,1.8775431,1.680648e-06,0.0013086575,1.0426212e-07,8.2893e-05,0.0,0.0021175153
5.809825,1.9104825,2.1333985e-06,0.0015914264,1.3395908e-07,0.000101016754,0.0,0.002355159
5.9099946,1.9434221,2.6977366e-06,0.0019271481,1.7146002e-07,0.00012259356,0.0,0.0026391563
6.010164,1.9763613,3.3910862e-06,0.002323628,2.1792202e-07,0.00014813813,0.0,0.0029762243
6.1103334,2.0093007,4.2157603e-06,0.0027885637,2.7303108e-07,0.00017813679,0.0,0.0033730457
6.2105026,2.0422401,5.260706e-06,0.00333454,3.4450352e-07,0.00021351344,0.0,0.0038402684
6.3106723,2.0751793,6.530385e-06,0.0039706314,4.3208732e-07,0.00025484624,0.0,0.0043857773
6.4108415,2.1081188,8.07544e-06,0.004708639,5.3983564e-07,0.0003029547,0.0,0.00501966
6.511011,2.1410582,9.939632e-06,0.0055607553,6.7096556e-07,0.000358676,0.0,0.0057523847
6.611181,2.1739976,1.2187896e-05,0.0065404074,8.3074116e-07,0.0004229571,0.0,0.006595424
6.7113495,2.2069368,1.488119e-05,0.0076613915,1.02382e-06,0.0004967667,0.0,0.007560579
6.811519,2.2398763,1.8053655e-05,0.008936916,1.2519505e-06,0.00058100384,0.0,0.008659216
6.911689,2.2728157,2.1886799e-05,0.01038535,1.531919e-06,0.00067709765,0.0,0.009906678
7.011858,2.305755,2.642833e-05,0.012020544,1.8665468e-06,0.00078601553,0.0,0.011314995
7.1120276,2.3386943,3.17974e-05,0.01385851,2.2659526e-06,0.00090896245,0.0,0.012897563
7.212197,2.3716335,3.8113612e-05,0.015915006,2.7399853e-06,0.0010471351,0.0,0.014667792
7.312366,2.404573,4.5455316e-05,0.018204086,3.2937605e-06,0.0012015761,0.0,0.016637528
7.412535,2.4375122,5.418027e-05,0.020746581,3.9630045e-06,0.001374122,0.0,0.018823832
7.512705,2.4704516,6.419187e-05,0.023550099,4.7327558e-06,0.0015651993,0.0,0.021233445
7.6128745,2.5033913,7.588823e-05,0.026633874,5.64318e-06,0.0017766063,0.0,0.023881879
7.7130437,2.5363305,8.940854e-05,0.030008845,6.705059e-06,0.002009297,0.0,0.026778108
7.813213,2.5692697,0.00010498933,0.033686474,7.9401425e-06,0.002264385,0.0,0.029931353
7.9133825,2.602209,0.00012287842,0.03767648,9.3711005e-06,0.0025428974,0.0,0.033349168
8.013552,2.6351483,0.0001432582,0.041984726,1.1012611e-05,0.0028455406,0.0,0.037035942
8.113722,2.668088,0.00016670585,0.046622932,1.2926792e-05,0.0031738789,0.0,0.041000202
8.213891,2.7010274,0.00019316137,0.05158663,1.5098364e-05,0.0035276792,0.0,0.04523792
8.31406,2.7339666,0.00022324985,0.056882508,1.7595663e-05,0.003908249,0.0,0.049753055
8.414229,2.766906,0.00025723816,0.06250697,2.044302e-05,0.004315809,0.0,0.054541543
8.514399,2.7998452,0.0002955142,0.06845555,2.3679995e-05,0.0047506695,0.0,0.059598256
8.614569,2.8327847,0.00033848488,0.07472108,2.734848e-05,0.0052129887,0.0,0.06491562
8.714738,2.865724,0.00038645056,0.08129134,3.1476855e-05,0.005702469,0.0,0.070482
8.814907,2.8986633,0.0004402544,0.08816059,3.61648e-05,0.0062198592,0.0,0.07629009
8.915076,2.9316025,0.0004998444,0.09530453,4.1394887e-05,0.006763663,0.0,0.0823186
9.015246,2.9645422,0.0005661075,0.102712385,4.727448e-05,0.0073343306,0.0,0.08855577
9.115416,2.9974816,0.00063942344,0.11036208,5.384439e-05,0.007930982,0.0,0.09498126
9.215585,3.0304208,0.0007203194,0.11823195,6.1166225e-05,0.008552916,0.0,0.101574756
9.315755,3.0633602,0.0008093447,0.12629889,6.93054e-05,0.009199347,0.0,0.108314715
9.415923,3.0962994,0.0009070541,0.13453808,7.83299e-05,0.00986936,0.0,0.115178145
9.516093,3.1292388,0.0010140288,0.14292441,8.831235e-05,0.010562027,0.0,0.1221417
9.616262,3.1621783,0.001130848,0.15143166,9.9327364e-05,0.011276314,0.0,0.12918125
9.716432,3.1951177,0.0012581171,0.16003396,0.00011145469,0.012011219,0.0,0.13627292
9.816602,3.2280571,0.0013962369,0.16870284,0.0001247462,0.012765301,0.0,0.14339106
9.916771,3.2609963,0.0015464367,0.17742144,0.00013937826,0.013538783,0.0,0.1505183
10.016941,3.2939358,0.0017085125,0.18615477,0.00015531757,0.014329064,0.0,0.1576249
10.117109,3.326875,0.0018839515,0.19489138,0.00017278548,0.015136935,0.0,0.16469768
10.2172785,3.3598142,0.0020725038,0.203599,0.00019174482,0.015959868,0.0,0.17170955
10.317449,3.392754,0.0022757384,0.21227072,0.00021243743,0.01679897,0.0,0.17865111
10.417618,3.425693,0.0024935897,0.22088079,0.00023485896,0.017652284,0.0,0.18550062
10.517787,3.4586325,0.0027269584,0.22941828,0.0002591558,0.018519867,0.0,0.19224696
10.617956,3.491572,0.00297649,0.23787142,0.00028543881,0.019401409,0.0,0.1988789
10.718124,3.5245109,0.003242862,0.24623157,0.00031382742,0.020296818,0.0,0.20538786
10.818295,3.5574503,0.003526732,0.2544924,0.00034444136,0.021206116,0.0,0.2117674
10.918464,3.5903897,0.003828788,0.2626505,0.00037740922,0.022129536,0.0,0.21801357
11.018634,3.623329,0.0041500097,0.27070838,0.00041291112,0.023068005,0.0,0.22412686
11.118803,3.6562684,0.00449051,0.27866122,0.00045098833,0.024021002,0.0,0.23010343
11.218973,3.6892083,0.004851298,0.2865167,0.0004918328,0.02498982,0.0,0.23594823
11.319142,3.7221472,0.005233398,0.2942844,0.0005356456,0.025975885,0.0,0.2416678
11.419311,3.7550862,0.0056369426,0.30196655,0.00058247906,0.026979165,0.0,0.24726437
11.519481,3.7880259,0.0060630064,0.30957714,0.0006325492,0.028001439,0.0,0.2527482
11.61965,3.820965,0.0065127364,0.31713215,0.0006860905,0.029044716,0.0,0.25813085
11.71982,3.8539047,0.0069866227,0.32464206,0.0007432266,0.030109935,0.0,0.26342103
11.819989,3.8868442,0.00748553,0.33212242,0.00080414995,0.031198772,0.0,0.26863045
11.920158,3.919783,0.008010382,0.33958995,0.00086906645,0.032313097,0.0,0.27377212
12.020328,3.9527225,0.008562161,0.3470627,0.00093819527,0.033454932,0.0,0.2788596
12.120497,3.985662,0.009141892,0.3545594,0.0010117688,0.034626417,0.0,0.28390723
12.220667,4.0186014,0.009751638,0.362109,0.0010902103,0.035831563,0.0,0.28893527
12.320836,4.051541,0.010393015,0.3697358,0.0011738687,0.037073582,0.0,0.29396138
12.421005,4.0844803,0.011063352,0.37742397,0.0012623,0.038348254,0.0,0.2989785
